question_id,source_id
question_bridgeentity_lintransigeant0032,18870216
question_bridgeentity_lintransigeant0032,1887-02-14_006_001.txt
question_generic_legaulois0011,18870125
question_generic_legaulois0011,1887-01-24_002_003.txt
question_generic_legaulois_lintransigeant0104,18870603
question_generic_legaulois_lintransigeant0104,18870606
question_generic_legaulois_lintransigeant0007,18870619
question_generic_legaulois_lintransigeant0007,18870620
question_generic_legaulois0002,18870112
question_generic_legaulois0002,1887-01-11_004_000.txt
question_bridgeentity_lintransigeant0039,18870227
question_bridgeentity_lintransigeant0039,1887-02-25_009_012.txt
question_generic_legaulois_lintransigeant0017,18870706
question_generic_lintransigeant0029,18870209
question_generic_lintransigeant0029,1887-01-31_006_021.txt
question_generic_lintransigeant0149,18870627
question_generic_lintransigeant0149,1887-05-23_396_004.txt
question_generic_lintransigeant0025,18870131
question_generic_lintransigeant0025,1887-01-29_008_000.txt
question_generic_legaulois0138,18870621
question_generic_legaulois0138,1887-05-23_311_003.txt
question_generic_legaulois0206,18871122
question_generic_legaulois0206,1887-11-21_005_000.txt
question_generic_legaulois_lintransigeant0107,18870511
question_generic_legaulois_lintransigeant0107,18870512
question_generic_legaulois0029,18870206
question_generic_legaulois0029,1887-02-05_011_006.txt
question_bridgeentity_lintransigeant0033,18870217
question_bridgeentity_lintransigeant0033,1887-02-15_004_001.txt
question_generic_legaulois0148,18870628
question_generic_legaulois0148,1887-05-23_409_003.txt
question_generic_legaulois0068,18870311
question_generic_legaulois0068,1887-03-10_006_005.txt
question_bridgeentity_lintransigeant0078,18870518
question_bridgeentity_lintransigeant0078,1887-05-16_010_000.txt
question_generic_legaulois_lintransigeant0120,18870621
question_generic_legaulois_lintransigeant0120,18870620
question_bridgeentity_lintransigeant0098,18870620
question_bridgeentity_lintransigeant0098,1887-05-23_286_013.txt
question_generic_lintransigeant0016,18870124
question_generic_lintransigeant0016,1887-01-22_004_002.txt
question_bridgeentity_lintransigeant0020,18870202
question_bridgeentity_lintransigeant0020,1887-02-05_001_000.txt
question_generic_lintransigeant0009,18870120
question_generic_lintransigeant0009,1887-01-18_006_000.txt
question_generic_lintransigeant0185,18870724
question_generic_lintransigeant0185,1887-05-23_1073_001.txt
question_bridgeentity_lintransigeant0132,18870715
question_bridgeentity_lintransigeant0132,1887-05-23_842_000.txt
question_generic_legaulois0092,18870406
question_generic_legaulois0092,1887-04-05_007_003.txt
question_generic_legaulois0010,18870125
question_generic_legaulois0010,1887-01-24_002_003.txt
question_generic_lintransigeant0127,18870613
question_generic_lintransigeant0127,1887-05-23_185_000.txt
question_generic_legaulois0012,18870126
question_generic_legaulois0012,1887-01-25_006_003.txt
question_generic_legaulois0009,18870125
question_generic_legaulois0009,1887-01-24_002_003.txt
question_generic_lintransigeant0067,18870316
question_generic_lintransigeant0067,1887-03-14_007_004.txt
question_generic_legaulois0218,18871218
question_generic_legaulois0218,1887-12-17_006_000.txt
question_generic_legaulois0191,18870717
question_generic_legaulois0191,1887-05-23_890_004.txt
question_generic_legaulois_lintransigeant0097,18870603
question_generic_legaulois_lintransigeant0097,18870604
question_generic_legaulois0040,18870213
question_generic_legaulois0040,1887-05-23_809_000.txt
question_generic_lintransigeant0034,18870212
question_generic_lintransigeant0034,1887-02-10_013_003.txt
question_generic_legaulois0149,18870629
question_generic_legaulois0149,1887-05-23_422_011.txt
question_bridgeentity_lintransigeant0139,18870723
question_bridgeentity_lintransigeant0139,1887-05-23_720_000.txt
question_generic_legaulois0154,18870701
question_generic_legaulois0154,1887-05-23_457_008.txt
question_bridgeentity_lintransigeant0121,18870704
question_bridgeentity_lintransigeant0121,1887-05-23_513_000.txt
question_generic_legaulois0212,18871214
question_generic_legaulois0212,1887-12-13_007_000.txt
question_generic_lintransigeant0147,18870626
question_generic_lintransigeant0147,1887-05-23_383_005.txt
question_generic_lintransigeant0026,18870206
question_generic_lintransigeant0026,1887-02-04_008_008.txt
question_bridgeentity_lintransigeant0065,18870402
question_bridgeentity_lintransigeant0065,1887-03-31_005_000.txt
question_generic_legaulois0180,18870712
question_generic_legaulois0180,1887-05-23_786_000.txt
question_bridgeentity_lintransigeant0021,18870206
question_bridgeentity_lintransigeant0021,1887-02-04_008_008.txt
question_bridgeentity_lintransigeant0119,18870703
question_bridgeentity_lintransigeant0119,1887-05-23_722_000.txt
question_generic_lintransigeant0072,18870321
question_generic_lintransigeant0072,1887-03-10_006_007.txt
question_generic_lintransigeant0133,18870619
question_generic_lintransigeant0133,1887-05-23_266_015.txt
question_bridgeentity_lintransigeant0030,18870216
question_bridgeentity_lintransigeant0030,1887-02-14_006_001.txt
question_bridgeentity_lintransigeant0082,18870530
question_bridgeentity_lintransigeant0082,1887-05-23_053_000.txt
question_generic_legaulois0136,18870621
question_generic_legaulois0136,1887-05-23_311_003.txt
question_generic_legaulois0089,18870403
question_generic_legaulois0089,1887-04-04_007_001.txt
question_generic_legaulois0119,18870608
question_generic_legaulois0119,1887-05-23_161_000.txt
question_bridgeentity_lintransigeant0058,18870324
question_bridgeentity_lintransigeant0058,1887-03-22_1_020_009.txt
question_generic_legaulois0066,18870311
question_generic_legaulois0066,1887-03-10_006_005.txt
question_generic_lintransigeant0108,18870519
question_generic_lintransigeant0108,1887-05-23_844_000.txt
question_bridgeentity_lintransigeant0074,18870516
