question_id,source_id
3_18870118_1887-01-17_016_002.txt_0,18870118-v2
3_18870118_1887-01-17_016_002.txt_0,1887-01-17_016_002.txt-v2
6_18870119_1887-01-18_006_002.txt_0,18870119-v2
6_18870119_1887-01-18_006_002.txt_0,1887-01-18_006_002.txt-v2
12_18870126_1887-01-25_006_003.txt_0,18870126-v2
12_18870126_1887-01-25_006_003.txt_0,1887-01-25_006_003.txt-v2
15_18870128_1887-01-27_006_002.txt_0,18870128-v2
15_18870128_1887-01-27_006_002.txt_0,1887-01-27_006_002.txt-v2
17_18870128_1887-01-27_006_002.txt_2,18870128-v2
17_18870128_1887-01-27_006_002.txt_2,1887-01-27_006_002.txt-v2
20_18870202_1887-02-01_004_005.txt_0,18870202-v2
20_18870202_1887-02-01_004_005.txt_0,1887-02-01_004_005.txt-v2
35_18870209_1887-02-08_005_000.txt_0,18870209-v2
35_18870209_1887-02-08_005_000.txt_0,1887-02-08_005_000.txt-v2
37_18870209_1887-02-08_005_000.txt_2,18870209-v2
37_18870209_1887-02-08_005_000.txt_2,1887-02-08_005_000.txt-v2
41_18870215_1887-02-14_006_000.txt_0,18870215-v2
41_18870215_1887-02-14_006_000.txt_0,1887-02-14_006_000.txt-v2
47_18870218_1887-03-08_009_012.txt_0,18870218-v2
47_18870218_1887-03-08_009_012.txt_0,1887-03-08_009_012.txt-v2
48_18870218_1887-03-08_009_012.txt_1,18870218-v2
48_18870218_1887-03-08_009_012.txt_1,1887-03-08_009_012.txt-v2
54_18870226_1887-03-05_012_008.txt_1,18870226-v2
54_18870226_1887-03-05_012_008.txt_1,1887-03-05_012_008.txt-v2
69_18870315_1887-03-14_007_004.txt_0,18870315-v2
69_18870315_1887-03-14_007_004.txt_0,1887-03-14_007_004.txt-v2
85_18870401_1887-03-31_012_011.txt_0,18870401-v2
85_18870401_1887-03-31_012_011.txt_0,1887-03-31_012_011.txt-v2
87_18870401_1887-03-31_012_011.txt_2,18870401-v2
87_18870401_1887-03-31_012_011.txt_2,1887-03-31_012_011.txt-v2
88_18870403_1887-04-04_007_001.txt_0,18870403-v2
88_18870403_1887-04-04_007_001.txt_0,1887-04-04_007_001.txt-v2
97_18870513_1887-05-12_005_000.txt_0,18870513-v2
97_18870513_1887-05-12_005_000.txt_0,1887-05-12_005_000.txt-v2
98_18870513_1887-05-12_005_000.txt_1,18870513-v2
98_18870513_1887-05-12_005_000.txt_1,1887-05-12_005_000.txt-v2
105_18870527_1887-05-23_020_000.txt_0,18870527-v2
105_18870527_1887-05-23_020_000.txt_0,1887-05-23_020_000.txt-v2
107_18870527_1887-05-23_020_000.txt_2,18870527-v2
107_18870527_1887-05-23_020_000.txt_2,1887-05-23_020_000.txt-v2
116_18870607_1887-05-23_150_007.txt_0,18870607-v2
116_18870607_1887-05-23_150_007.txt_0,1887-05-23_150_007.txt-v2
117_18870607_1887-05-23_150_007.txt_1,18870607-v2
117_18870607_1887-05-23_150_007.txt_1,1887-05-23_150_007.txt-v2
119_18870608_1887-05-23_161_000.txt_0,18870608-v2
119_18870608_1887-05-23_161_000.txt_0,1887-05-23_161_000.txt-v2
130_18870617_1887-05-23_259_000.txt_0,18870617-v2
130_18870617_1887-05-23_259_000.txt_0,1887-05-23_259_000.txt-v2
132_18870617_1887-05-23_259_000.txt_2,18870617-v2
132_18870617_1887-05-23_259_000.txt_2,1887-05-23_259_000.txt-v2
146_18870628_1887-05-23_409_003.txt_0,18870628-v2
146_18870628_1887-05-23_409_003.txt_0,1887-05-23_409_003.txt-v2
148_18870628_1887-05-23_409_003.txt_2,18870628-v2
148_18870628_1887-05-23_409_003.txt_2,1887-05-23_409_003.txt-v2
149_18870629_1887-05-23_422_011.txt_0,18870629-v2
149_18870629_1887-05-23_422_011.txt_0,1887-05-23_422_011.txt-v2
151_18870629_1887-05-23_422_011.txt_2,18870629-v2
151_18870629_1887-05-23_422_011.txt_2,1887-05-23_422_011.txt-v2
161_18870705_1887-05-23_567_016.txt_0,18870705-v2
161_18870705_1887-05-23_567_016.txt_0,1887-05-23_567_016.txt-v2
162_18870705_1887-05-23_567_016.txt_1,18870705-v2
162_18870705_1887-05-23_567_016.txt_1,1887-05-23_567_016.txt-v2
165_18870706_1887-05-23_618_004.txt_1,18870706-v2
165_18870706_1887-05-23_618_004.txt_1,1887-05-23_618_004.txt-v2
185_18870714_1887-05-23_842_000.txt_0,18870714-v2
185_18870714_1887-05-23_842_000.txt_0,1887-05-23_842_000.txt-v2
187_18870714_1887-05-23_842_000.txt_2,18870714-v2
187_18870714_1887-05-23_842_000.txt_2,1887-05-23_842_000.txt-v2
193_18871028_1887-10-27_014_000.txt_0,18871028-v2
193_18871028_1887-10-27_014_000.txt_0,1887-10-27_014_000.txt-v2
194_18871028_1887-10-27_014_000.txt_1,18871028-v2
194_18871028_1887-10-27_014_000.txt_1,1887-10-27_014_000.txt-v2
200_18871113_1887-11-12_010_000.txt_0,18871113-v2
200_18871113_1887-11-12_010_000.txt_0,1887-11-12_010_000.txt-v2
201_18871113_1887-11-12_010_000.txt_1,18871113-v2
201_18871113_1887-11-12_010_000.txt_1,1887-11-12_010_000.txt-v2
214_18871217_1887-12-16_016_000.txt_0,18871217-v2
214_18871217_1887-12-16_016_000.txt_0,1887-12-16_016_000.txt-v2
216_18871217_1887-12-16_016_000.txt_2,18871217-v2
216_18871217_1887-12-16_016_000.txt_2,1887-12-16_016_000.txt-v2
233_18870123_1887-01-21_008_005.txt_0,18870123-v2
233_18870123_1887-01-21_008_005.txt_0,1887-01-21_008_005.txt-v2
243_18870131_1887-01-29_008_000.txt_0,18870131-v2
243_18870131_1887-01-29_008_000.txt_0,1887-01-29_008_000.txt-v2
260_18870216_1887-02-14_006_001.txt_0,18870216-v2
260_18870216_1887-02-14_006_001.txt_0,1887-02-14_006_001.txt-v2
270_18870227_1887-02-25_009_012.txt_0,18870227-v2
270_18870227_1887-02-25_009_012.txt_0,1887-02-25_009_012.txt-v2
271_18870227_1887-02-25_009_012.txt_1,18870227-v2
271_18870227_1887-02-25_009_012.txt_1,1887-02-25_009_012.txt-v2
279_18870312_1887-02-25_009_001.txt_0,18870312-v2
279_18870312_1887-02-25_009_001.txt_0,1887-02-25_009_001.txt-v2
282_18870314_1887-03-12_010_002.txt_0,18870314-v2
282_18870314_1887-03-12_010_002.txt_0,1887-03-12_010_002.txt-v2
291_18870321_1887-03-10_006_007.txt_0,18870321-v2
291_18870321_1887-03-10_006_007.txt_0,1887-03-10_006_007.txt-v2
319_18870514_1887-05-12_005_000.txt_0,18870514-v2
319_18870514_1887-05-12_005_000.txt_0,1887-05-12_005_000.txt-v2
346_18870613_1887-05-23_185_000.txt_0,18870613-v2
346_18870613_1887-05-23_185_000.txt_0,1887-05-23_185_000.txt-v2
347_18870613_1887-05-23_185_000.txt_1,18870613-v2
347_18870613_1887-05-23_185_000.txt_1,1887-05-23_185_000.txt-v2
353_18870619_1887-05-23_266_015.txt_1,18870619-v2
353_18870619_1887-05-23_266_015.txt_1,1887-05-23_266_015.txt-v2
355_18870620_1887-05-23_286_013.txt_0,18870620-v2
355_18870620_1887-05-23_286_013.txt_0,1887-05-23_286_013.txt-v2
363_18870625_1887-05-23_185_000.txt_1,18870625-v2
363_18870625_1887-05-23_185_000.txt_1,1887-05-23_185_000.txt-v2
371_18870629_1887-05-23_409_008.txt_0,18870629-v2
371_18870629_1887-05-23_409_008.txt_0,1887-05-23_409_008.txt-v2
374_18870630_1887-05-23_422_009.txt_0,18870630-v2
374_18870630_1887-05-23_422_009.txt_0,1887-05-23_422_009.txt-v2
389_18870709_1887-05-23_678_002.txt_1,18870709-v2
389_18870709_1887-05-23_678_002.txt_1,1887-05-23_678_002.txt-v2
390_18870709_1887-05-23_678_002.txt_2,18870709-v2
390_18870709_1887-05-23_678_002.txt_2,1887-05-23_678_002.txt-v2
413_18871204_1887-05-23_799_000.txt_0,18871204-v2
413_18871204_1887-05-23_799_000.txt_0,1887-05-23_799_000.txt-v2
457_18870227_1887-02-25_009_012.txt_0,18870227-v2
